indicator,author_order,threshold,english_speaking_country,author_profile_group,ai_use_change,lower,upper
pub,corresponding,5,0,1,.066702001,.064111069,.069292925
pub,corresponding,5,1,0,.061309341,.054222032,.06839665
pub,corresponding,5,1,1,.050478641,.047071423,.053885862
pub,corresponding,10,0,0,.088683411,.084324151,.093042679
pub,corresponding,10,0,1,.069160029,.06655997,.071760088
pub,corresponding,10,1,0,.064654581,.056289859,.073019311
pub,corresponding,10,1,1,.051202554,.047763292,.054641817
pub,corresponding,20,0,0,.094513185,.089518331,.099508032
pub,corresponding,20,0,1,.071777299,.069049381,.07450521
pub,corresponding,20,1,0,.069636427,.059195276,.080077566
pub,corresponding,20,1,1,.05247112,.048783213,.056159031
