accepted_month,english_country,n,mean_ai_content,std_ai_content,se_ai_content,ci95_lower,ci95_upper,group_label
2021-01-01,0.0,22376,0.03735640865212728,0.06727566724269395,0.00044974545908237523,0.03647487606408415,0.038237941240170416,Non-English-speaking country
2021-01-01,1.0,12961,0.05690479129696783,0.09307926916442606,0.0008175864954291942,0.055302201542313606,0.05850738105162205,English-speaking country
2021-02-01,0.0,22243,0.037851458885941644,0.06754099462849822,0.0004528670998679675,0.036963807376260184,0.038739110395623104,Non-English-speaking country
2021-02-01,1.0,12526,0.05602929905795944,0.09184239309513224,0.0008206103452739435,0.05442077689514296,0.057637821220775924,English-speaking country
2021-03-01,0.0,25700,0.03838093385214008,0.06940983300374076,0.0004329666425090635,0.03753229485737218,0.03922957284690798,Non-English-speaking country
2021-03-01,1.0,14358,0.057581069786878394,0.0930890922703951,0.0007768762073679837,0.05605829202262707,0.05910384755112972,English-speaking country
2021-04-01,0.0,24634,0.03842619956158155,0.06878337159256037,0.00043824401275203756,0.03756721487319397,0.039285184249969136,Non-English-speaking country
2021-04-01,1.0,13477,0.06097863025895971,0.09619536024134218,0.0008286240062348295,0.059354411168858416,0.06260284934906099,English-speaking country
2021-05-01,0.0,24788,0.0394242778763918,0.07024429556202903,0.0004461596777890026,0.03854977827424458,0.04029877747853902,Non-English-speaking country
2021-05-01,1.0,13433,0.059029777413831606,0.09473016287783957,0.0008173381616125606,0.05742767968821918,0.060631875139444034,English-speaking country
2021-06-01,0.0,25027,0.039400287689295564,0.07054675214854976,0.0004459360961240791,0.03852622672818353,0.0402743486504076,Non-English-speaking country
2021-06-01,1.0,13540,0.058938700147710486,0.09456978094815134,0.0008127239365791587,0.0573456480865804,0.06053175220884057,English-speaking country
2021-07-01,0.0,23862,0.03998248260833124,0.07082062897579003,0.0004584651819343752,0.039083861780489115,0.04088110343617336,Non-English-speaking country
2021-07-01,1.0,12686,0.05850480845026013,0.09437620071326747,0.0008379153308143158,0.05686236786326338,0.060147249037256885,English-speaking country
2021-08-01,0.0,24548,0.03895221606648199,0.06842126292497647,0.0004366998360338012,0.038096257910208965,0.03980817422275502,Non-English-speaking country
2021-08-01,1.0,12800,0.057162578125,0.09128867942973284,0.0008068855533791123,0.055580961932066894,0.05874419431793311,English-speaking country
2021-09-01,0.0,25127,0.04035929478250487,0.07046885891428696,0.00044455645359153594,0.0394879381695865,0.04123065139542324,Non-English-speaking country
2021-09-01,1.0,12669,0.05926024153445418,0.09543919094518415,0.0008479213703345697,0.0575981873860866,0.06092229568282176,English-speaking country
2021-10-01,0.0,24738,0.041280701754385966,0.07272634507535944,0.0004623911036163471,0.040374387499218636,0.042187016009553296,Non-English-speaking country
2021-10-01,1.0,12488,0.060622677770659834,0.09630149480475426,0.0008617604992352165,0.058933494496622676,0.06231186104469699,English-speaking country
2021-11-01,0.0,25959,0.04134411957317308,0.07178992759739991,0.0004455736871104994,0.04047077047165367,0.042217468674692483,Non-English-speaking country
2021-11-01,1.0,12566,0.06095567404106319,0.09619075188884214,0.0008580938547615657,0.05927367896696641,0.06263766911515996,English-speaking country
2021-12-01,0.0,25250,0.041018653465346534,0.07131890133144872,0.0004488218102007499,0.04013893671081113,0.041898370219881936,Non-English-speaking country
2021-12-01,1.0,12195,0.06147740877408774,0.09756722386413112,0.0008835132065256559,0.05974558281034388,0.0632092347378316,English-speaking country
2022-01-01,0.0,25923,0.04137133047872546,0.07257234366422455,0.00045074250978452125,0.04048785014131509,0.04225481081613583,Non-English-speaking country
2022-01-01,1.0,13174,0.06237710642173979,0.09760204560253598,0.0008503546490336276,0.060710288784854426,0.06404392405862516,English-speaking country
2022-02-01,0.0,24932,0.041883523183057915,0.07307662473706554,0.00046280700188261307,0.04097639408777987,0.04279065227833596,Non-English-speaking country
2022-02-01,1.0,12627,0.06108901560148887,0.09450632311659482,0.0008410286229446641,0.05944047175664944,0.06273755944632829,English-speaking country
2022-03-01,0.0,29346,0.04272906017855926,0.0740883776772634,0.00043248956012361864,0.04188136125283791,0.043576759104280605,Non-English-speaking country
2022-03-01,1.0,14993,0.06362535850063364,0.09838784273797466,0.0008035208820886611,0.062050359355047074,0.0652003576462202,English-speaking country
2022-04-01,0.0,27206,0.04289858854664412,0.07475492992499176,0.0004532183567852152,0.042010257367922965,0.043786919725365275,Non-English-speaking country
2022-04-01,1.0,13873,0.06385259136452101,0.10063882512265822,0.000854437626520085,0.06217777825833066,0.06552740447071136,English-speaking country
2022-05-01,0.0,29048,0.043604137978518316,0.07590384785553489,0.0004453543252858548,0.04273122316697927,0.04447705279005736,Non-English-speaking country
2022-05-01,1.0,14614,0.06511632680990831,0.10169344007736136,0.0008412176715022531,0.06346743389639245,0.06676521972342417,English-speaking country
2022-06-01,0.0,28925,0.04437649092480553,0.07546605621128846,0.0004437260961494015,0.04350676736259507,0.04524621448701599,Non-English-speaking country
2022-06-01,1.0,14263,0.0638927294398093,0.09886199190000863,0.0008277971281820469,0.062270139178859256,0.06551531970075934,English-speaking country
2022-07-01,0.0,29006,0.0448336895814659,0.07735542831566339,0.0004541997322126515,0.04394343731476866,0.04572394184816314,Non-English-speaking country
2022-07-01,1.0,14383,0.06559083640408817,0.10069118835912062,0.000839588973393962,0.06394513375507622,0.0672365390531001,English-speaking country
2022-08-01,0.0,31665,0.04525564503394915,0.07756648225766433,0.0004358974715580213,0.044401269030017745,0.04611002103788056,Non-English-speaking country
2022-08-01,1.0,15298,0.06391358347496405,0.09870346189819286,0.0007980223541860375,0.06234936463431795,0.06547780231561015,English-speaking country
2022-09-01,0.0,30779,0.04505253581987719,0.07719825939620634,0.0004400279422279025,0.04419006298364125,0.045915008656113136,Non-English-speaking country
2022-09-01,1.0,14693,0.06532845572721704,0.10262532757346178,0.0008466410409210064,0.06366893306362956,0.06698797839080453,English-speaking country
2022-10-01,0.0,29846,0.04482828519734638,0.07546630356713703,0.0004368275400447901,0.04397208422817606,0.04568448616651669,Non-English-speaking country
2022-10-01,1.0,14764,0.06507795990246545,0.10082250420116438,0.0008297656683092204,0.06345151573091229,0.06670440407401862,English-speaking country
