accepted_month,english_country,n,mean_ai_content,std_ai_content,se_ai_content,ci95_lower,ci95_upper,group_label
2021-01-01,0.0,22929,0.03777255876837193,0.06768033369191298,0.00044696131299056376,0.036896484444674374,0.03864863309206949,Non-English-speaking country
2021-01-01,1.0,12752,0.05731540150564617,0.0941474720157344,0.0008337186393979325,0.0556811878747803,0.05894961513651205,English-speaking country
2021-02-01,0.0,22894,0.038208176814885995,0.06824232859526493,0.00045101708982018385,0.03732415282366452,0.03909220080610747,Non-English-speaking country
2021-02-01,1.0,12339,0.05691044655158441,0.09264466112081314,0.0008340275850703398,0.05527562214581229,0.058545270957356524,English-speaking country
2021-03-01,0.0,26467,0.03883791136131787,0.07024384088865543,0.00043177340824990593,0.037991612328058186,0.03968421039457755,Non-English-speaking country
2021-03-01,1.0,14091,0.058386700730963026,0.0941583326948697,0.0007932093999796964,0.056831905314353906,0.059941496147572146,English-speaking country
2021-04-01,0.0,25219,0.03870181212577818,0.06893027151520384,0.0004340562942923911,0.03785103658785959,0.03955258766369677,Non-English-speaking country
2021-04-01,1.0,13402,0.061920011938516636,0.0975053037089985,0.0008422546795275727,0.06026907399002328,0.06357094988701,English-speaking country
2021-05-01,0.0,25441,0.03984929837663614,0.070856752753492,0.0004442364157881243,0.038978569574240174,0.0407200271790321,Non-English-speaking country
2021-05-01,1.0,13329,0.06093547903068497,0.09709397424315878,0.0008409951553079811,0.05928700911172306,0.06258394894964688,English-speaking country
2021-06-01,0.0,25694,0.03993348641706235,0.07092902843422366,0.0004424947793401001,0.03906617172814444,0.04080080110598026,Non-English-speaking country
2021-06-01,1.0,13357,0.059785954929999253,0.09577941842325485,0.0008287389154462726,0.05816150929075126,0.061410400569247243,English-speaking country
2021-07-01,0.0,24430,0.040492754809660254,0.07166130985664254,0.00045848275872477584,0.03959410059014143,0.04139140902917908,Non-English-speaking country
2021-07-01,1.0,12608,0.0587317576142132,0.09483374622401176,0.000844578082220363,0.05707625605086538,0.06038725917756101,English-speaking country
2021-08-01,0.0,25125,0.03932071641791045,0.06878943331248155,0.000433978981789348,0.03847009226422905,0.04017134057159184,Non-English-speaking country
2021-08-01,1.0,12711,0.058175910628589414,0.09288152935003202,0.0008238335956256442,0.05656107267223172,0.05979074858494711,English-speaking country
2021-09-01,0.0,25757,0.040969561672555034,0.071374424802812,0.0004447285211709407,0.04009786882429308,0.04184125452081699,Non-English-speaking country
2021-09-01,1.0,12512,0.0596951726342711,0.09634816479040326,0.0008613508346941361,0.05800679267978543,0.061383552588756767,English-speaking country
2021-10-01,0.0,25321,0.041647881205323645,0.07344677187008926,0.0004615643799031985,0.0407431883974309,0.04255257401321639,Non-English-speaking country
